#,frozen_output,output_section,generating_script_v3,direct_inputs,direct_input_producer_scripts,upstream_public_roots,reproducible_from_public,coverage,execution_evidence_v3,py_compile_v3
20,B5/figures/Figure4_enrichment_ORA.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
21,B5/figures/Figure5_robustness.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
22,B5/figures/Figure6_scRNA_patient_level.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
23,B5/suppl/Suppl_threshold_sensitivity.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
24,B5/suppl/Suppl_permutation_distributions.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
25,B5/suppl/Suppl_rescue_sensitivity.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
26,B7/Figure_S2_classical_IFN_forest.pdf,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
27,B7/Figure_S2_classical_IFN_forest.png,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
28,B7/Figure_S3_gene_contribution.pdf,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
29,B7/Figure_S3_gene_contribution.png,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
30,B7/Figure_S4_gmcsf_ifn_corr.pdf,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
31,B7/Figure_S4_gmcsf_ifn_corr.png,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
32,B7/B7_figure_claim_evidence.csv,B7,figure_scripts/b7_08_figures.py,output/B7/canonical15_results.csv; context53_results.csv; gmcsf_ifn_meta_analysis.csv; gene_contribution_analysis.csv; B7_m4_cell_scores.csv,figure_scripts/b7_08_figures.py,b7_02b/b7_03b/b7_04/b7_05 and C3.1 patient module scores,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
33,C2/figures/Figure1_design.tif,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
34,C2/figures/Figure2_IFN_program.tif,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
35,C2/figures/Figure3_GMCSF_recapitulation.tif,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
36,C2/figures/Figure4_neutralization.tif,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
37,C2/figures/Figure5_patient_boundaries.tif,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
38,C2/figure_source_data/fig2_heatmap_source.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
39,C2/figure_source_data/fig2_direct_vs_indirect.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
40,C2/figure_source_data/fig2_leave_one_donor.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
41,C2/figure_source_data/fig3_gmcsf_vs_lN229.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
42,C2/figure_source_data/fig3_permutation_null.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
43,C2/figure_source_data/fig4_rescue_genes.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
44,C2/figure_source_data/fig4_sensitivity.csv,C2,figure_scripts/make_main_figures.py,output/B2/GSE309037_B2_IFN_vs_MoCul.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B5/permutation_distributions.csv; output/B5/mechanism_chain_validation.csv; output/B7/B7_m4_cell_scores.csv; temp-intermediate patient_paired_GSE163120.csv + patient_paired_GSE182109.csv (prep_patient_paired); C2/A4_module_scores_patientlevel.csv etc via helper,figure_scripts/make_main_figures.py,"all B1-B7 outputs + prep_patient_paired; ultimate GEO GSE309037/038/039, GSE163120(GSM4972211), GSE182109",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
